location,continent,population,Total_cases,Total_deaths,Total_vaccinations,Infection_ratio,Death_ratio,Vaccination_ratio
World,,7794798729,151399480,3180238,1134333474,1.9423,2.1006,14.5524
Asia,,4639847425,39526308,520286,536861818,0.8519,1.3163,11.5707
China,Asia,1439323774,102494,4845,265064000,0.0071,4.7271,18.4159
India,Asia,1380004385,19164969,211853,151998107,1.3888,1.1054,11.0143
Africa,,1340598113,4557699,121784,17827619,0.3400,2.6721,1.3298
Europe,,748680069,44863478,1016750,224757173,5.9923,2.2663,30.0205
"North America",,592072204,37529488,847942,276667743,6.3387,2.2594,46.7287
"European Union",,444919060,30771214,688896,145933103,6.9161,2.2388,32.7999
"South America",,430759772,24878216,672415,75731252,5.7754,2.7028,17.5809
"United States","North America",331002647,32346971,576232,240159677,9.7724,1.7814,72.5552
Indonesia,Asia,273523621,1668368,45521,20068537,0.6100,2.7285,7.3370
Pakistan,Asia,220892331,825519,17957,2100000,0.3737,2.1752,0.9507
Brazil,"South America",212559409,14659011,403781,42698862,6.8964,2.7545,20.0880
Nigeria,Africa,206139587,165110,2063,1191563,0.0801,1.2495,0.5780
Bangladesh,Asia,164689383,759132,11450,8625350,0.4609,1.5083,5.2373
Russia,Europe,145934460,4750755,108290,19834392,3.2554,2.2794,13.5913
Mexico,"North America",128932753,2344755,216907,17718806,1.8186,9.2507,13.7427
Japan,Asia,126476458,593264,10199,3489719,0.4691,1.7191,2.7592
Ethiopia,Africa,114963583,257442,3688,430000,0.2239,1.4326,0.3740
Philippines,Asia,109581085,1037460,17234,1919851,0.9468,1.6612,1.7520
Egypt,Africa,102334403,227552,13339,660000,0.2224,5.8620,0.6449
Vietnam,Asia,97338583,2928,35,506435,0.0030,1.1954,0.5203
"Democratic Republic of Congo",Africa,89561404,29853,766,1700,0.0333,2.5659,0.0019
Turkey,Asia,84339067,4820591,40131,22816891,5.7157,0.8325,27.0538
Iran,Asia,83992953,2499077,71758,1068123,2.9753,2.8714,1.2717
Germany,Europe,83783945,3405365,83097,28774580,4.0645,2.4402,34.3438
Thailand,Asia,69799978,65153,203,1477078,0.0933,0.3116,2.1162
France,Europe,68147687,5677835,104675,21518866,8.3317,1.8436,31.5768
"United Kingdom",Europe,67886004,4432246,127775,48748962,6.5290,2.8828,71.8100
Italy,Europe,60461828,4022653,120807,19949067,6.6532,3.0032,32.9945
Tanzania,Africa,59734213,509,21,0,0.0009,4.1257,0.0000
"South Africa",Africa,59308690,1581210,54350,317656,2.6661,3.4372,0.5356
Myanmar,Asia,54409794,142817,3209,1040000,0.2625,2.2469,1.9114
Kenya,Africa,53771300,159318,2724,853081,0.2963,1.7098,1.5865
"South Korea",Asia,51269183,122634,1831,3554402,0.2392,1.4931,6.9328
Colombia,"South America",50882884,2859724,73720,4824078,5.6202,2.5779,9.4807
Spain,Europe,46754783,3524077,78216,16364595,7.5374,2.2195,35.0009
Uganda,Africa,45741000,41866,342,330077,0.0915,0.8169,0.7216
Argentina,"South America",45195777,2977363,63865,7865213,6.5877,2.1450,17.4025
Algeria,Africa,43851043,122108,3253,75000,0.2785,2.6640,0.1710
Sudan,Africa,43849269,33944,2349,140227,0.0774,6.9202,0.3198
Ukraine,Europe,43733759,2124070,45923,752553,4.8568,2.1620,1.7208
Oceania,,42677809,43570,1046,2487869,0.1021,2.4007,5.8294
Iraq,Asia,40222503,1065199,15465,298377,2.6483,1.4518,0.7418
Afghanistan,Asia,38928341,59745,2625,240000,0.1535,4.3937,0.6165
Poland,Europe,37846605,2792142,67502,11470800,7.3775,2.4176,30.3087
Canada,"North America",37742157,1228367,24220,13420148,3.2546,1.9717,35.5574
Morocco,Africa,36910558,511249,9023,9315054,1.3851,1.7649,25.2368
"Saudi Arabia",Asia,34813867,417363,6957,9214983,1.1988,1.6669,26.4693
Uzbekistan,Asia,33469199,90808,649,600369,0.2713,0.7147,1.7938
Peru,"South America",32971846,1799445,61477,1594646,5.4575,3.4164,4.8364
Angola,Africa,32866268,26652,596,456349,0.0811,2.2362,1.3885
Malaysia,Asia,32365998,408713,1506,1421664,1.2628,0.3685,4.3925
Mozambique,Africa,31255435,69917,814,57305,0.2237,1.1642,0.1833
Ghana,Africa,31072945,92562,779,846588,0.2979,0.8416,2.7245
Yemen,Asia,29825968,6317,1226,0,0.0212,19.4079,0.0000
Nepal,Asia,29136808,323187,3279,2091511,1.1092,1.0146,7.1782
Venezuela,"South America",28435943,197683,2136,250000,0.6952,1.0805,0.8792
Madagascar,Africa,27691019,37014,643,0,0.1337,1.7372,0.0000
Cameroon,Africa,26545864,72250,1107,400,0.2722,1.5322,0.0015
"Cote d'Ivoire",Africa,26378275,46036,286,149037,0.1745,0.6213,0.5650
Australia,Oceania,25499881,29811,910,2179544,0.1169,3.0526,8.5473
Niger,Africa,24206636,5228,191,1366,0.0216,3.6534,0.0056
Taiwan,Asia,23816775,1128,12,57884,0.0047,1.0638,0.2430
"Sri Lanka",Asia,21413250,108146,678,953461,0.5050,0.6269,4.4527
"Burkina Faso",Africa,20903278,13310,157,0,0.0637,1.1796,0.0000
Mali,Africa,20250834,13858,484,49903,0.0684,3.4926,0.2464
Romania,Europe,19237682,1055265,28109,5161840,5.4854,2.6637,26.8319
Malawi,Africa,19129955,34078,1148,296127,0.1781,3.3687,1.5480
Chile,"South America",19116209,1198245,26353,14767327,6.2682,2.1993,77.2503
Kazakhstan,Asia,18776707,375539,3334,1559836,2.0000,0.8878,8.3073
Zambia,Africa,18383956,91586,1251,26580,0.4982,1.3659,0.1446
Guatemala,"North America",17915567,227671,7524,170109,1.2708,3.3048,0.9495
Ecuador,"South America",17643060,381862,18631,861393,2.1644,4.8790,4.8823
Syria,Asia,17500657,22733,1592,2500,0.1299,7.0030,0.0143
Netherlands,Europe,17134873,1522973,17398,5265860,8.8881,1.1424,30.7318
Senegal,Africa,16743930,40344,1107,411343,0.2409,2.7439,2.4567
Cambodia,Asia,16718971,13402,93,2284788,0.0802,0.6939,13.6658
Chad,Africa,16425859,4817,170,0,0.0293,3.5292,0.0000
Somalia,Africa,15893219,13915,713,117567,0.0876,5.1240,0.7397
Zimbabwe,Africa,14862927,38257,1567,500342,0.2574,4.0960,3.3664
Guinea,Africa,13132792,22215,144,141294,0.1692,0.6482,1.0759
Rwanda,Africa,12952209,25116,335,349871,0.1939,1.3338,2.7012
Benin,Africa,12123198,7821,99,0,0.0645,1.2658,0.0000
Burundi,Africa,11890781,3995,6,0,0.0336,0.1502,0.0000
Tunisia,Africa,11818618,309119,10722,372083,2.6155,3.4686,3.1483
Bolivia,"South America",11673029,303732,12951,762044,2.6020,4.2640,6.5282
